lexEntry	nrOfTokens	isPrefix	polarity
bumbling	1	0	negative
bumm	1	1	negative
bumped	1	0	negative
bumps	1	0	negative
bumpy	1	0	negative
bums	1	0	negative
bungl	1	1	negative
burden	1	1	negative
burglar	1	1	negative
buried	1	1	negative
burn	1	0	negative
burned	1	0	negative
burning	1	1	negative
burnout	1	0	negative
burns	1	0	negative
burnt	1	0	negative
bury	1	1	negative
bushed	1	1	negative
busted	1	1	negative
butchery	1	1	negative
butt	1	0	negative
butted	1	0	negative
butting	1	0	negative
buttock	1	0	negative
butts	1	0	negative
by a side wind	4	1	negative
calamit	1	1	negative
callithump	1	1	negative
callous	1	1	negative
camouflag	1	1	negative
can of worms	3	0	negative
cancer	1	1	negative
cannibal	1	1	negative
cannon	1	0	negative
cannons	1	0	negative
cantankerous	1	1	negative
capitulat	1	1	negative
capricious	1	1	negative
careless	1	1	negative
carping	1	1	negative
carps	1	0	negative
cast down	2	1	negative
cast off	2	1	negative
castaway	1	1	negative
castigat	1	1	negative
castoff	1	1	negative
castrat	1	1	negative
casts	1	0	negative
casualt	1	1	negative
cataclysm	1	1	negative
catastroph	1	1	negative
caustic	1	1	negative
censor	1	1	negative
censur	1	1	negative
chafe	1	1	negative
chagrin	1	1	negative
challeng	1	1	negative
chao	1	1	negative
charge	1	1	negative
charlatan	1	1	negative
chase	1	1	negative
chastis	1	1	negative
cheapen	1	0	negative
cheapness	1	0	negative
cheapo	1	0	negative
cheapskate	1	0	negative
cheat	1	1	negative
cheerless	1	1	negative
chide	1	1	negative
chiding	1	1	negative
childish	1	1	negative
chill	1	0	negative
chilled	1	0	negative
chiller	1	0	negative
chilli	1	1	negative
chills	1	0	negative
chilly	1	0	negative
choke	1	0	negative
choked	1	0	negative
choker	1	1	negative
chokes	1	0	negative
choking	1	1	negative
choler	1	1	negative
clamor	1	1	negative
clamour	1	1	negative
clash	1	1	negative
classism	1	0	negative
classist	1	0	negative
claw	1	1	negative
clobber	1	1	negative
clog	1	1	negative
cloud	1	0	negative
clouded	1	1	negative
cloudi	1	1	negative
clouds	1	0	negative
cloudy	1	1	negative
clumsi	1	1	negative
clumsy	1	1	negative
clutter	1	1	negative
coarse	1	1	negative
cock	1	0	negative
cocked	1	0	negative
cockeyed	1	0	negative
cockfight	1	1	negative
cockier	1	0	negative
cockiest	1	0	negative
cockily	1	0	negative
cockiness	1	0	negative
cockroach	1	1	negative
cocks	1	1	negative
cocky	1	0	negative
coerc	1	1	negative
coers	1	1	negative
cold	1	1	negative
collaps	1	1	negative
collision	1	1	negative
coma	1	0	negative
comas	1	0	negative
comatose	1	1	negative
combat	1	0	negative
combatant	1	0	negative
combated	1	0	negative
combative	1	0	negative
comfortless	1	1	negative
commoner	1	1	negative
commotion	1	1	negative
complain	1	1	negative
complexit	1	1	negative
complicat	1	1	negative
conceal	1	1	negative
conceit	1	1	negative
concern	1	0	negative
concerned	1	0	negative
condemn	1	1	negative
condescend	1	1	negative
condescension	1	0	negative
confess	1	1	negative
confinement	1	1	negative
confiscat	1	1	negative
confiscation	1	1	negative
conflict	1	1	negative
confound	1	1	negative
confront	1	1	negative
confus	1	1	negative
connectionless	1	0	negative
conspir	1	1	negative
conspira	1	1	negative
consternat	1	1	negative
constrain	1	1	negative
contagious	1	1	negative
contaminat	1	1	negative
contemn	1	1	negative
contempt	1	1	negative
contend	1	1	negative
contention	1	0	negative
contentious	1	1	negative
contestable	1	0	negative
contested	1	0	negative
contester	1	0	negative
contesting	1	0	negative
contests	1	0	negative
contradic	1	1	negative
contrary	1	1	negative
contrast	1	1	negative
contraven	1	1	negative
contrit	1	1	negative
controvers	1	1	negative
controversy	1	1	negative
convict	1	0	negative
convicted	1	0	negative
convicting	1	0	negative
conviction	1	1	negative
convicts	1	0	negative
cool reception	2	0	negative
cool relations	2	0	negative
coolness	1	1	negative
corpse	1	1	negative
corrod	1	1	negative
corros	1	1	negative
corrupt	1	1	negative
costly	1	1	negative
counterfeit	1	1	negative
covert	1	1	negative
covet	1	1	negative
coward	1	1	negative
cowed	1	0	negative
cower	1	1	negative
crabbed	1	1	negative
crabby	1	1	negative
crafty	1	1	negative
cram	1	1	negative
cramp	1	0	negative
cramped	1	0	negative
cramps	1	0	negative
crank	1	0	negative
cranked	1	0	negative
cranki	1	1	negative
cranks	1	0	negative
cranky	1	0	negative
crap	1	0	negative
crapp	1	1	negative
craps	1	0	negative
crass	1	1	negative
crave	1	1	negative
crawl	1	1	negative
craz	1	1	negative
credul	1	1	negative
creep	1	1	negative
crie	1	1	negative
crime	1	0	negative
crimes	1	0	negative
criminal	1	1	negative
cring	1	1	negative
crippl	1	1	negative
crisi	1	1	negative
critic	1	1	negative
critiqu	1	1	negative
croak	1	1	negative
crook	1	1	negative
cross the line	3	0	negative
crossfire	1	1	negative
crossly	1	0	negative
crotchety	1	1	negative
crowded	1	0	negative
crowding	1	0	negative
crucifie	1	1	negative
crucify	1	1	negative
crude	1	1	negative
cruel	1	1	negative
crumb	1	1	negative
crummy	1	0	negative
crush	1	1	negative
cry	1	0	negative
crybab	1	1	negative
crying	1	0	negative
crypt	1	0	negative
cryptic	1	0	negative
crypts	1	0	negative
culpab	1	1	negative
culprit	1	1	negative
cult	1	0	negative
cultish	1	0	negative
cults	1	0	negative
cumbersom	1	1	negative
cunt	1	1	negative
curse	1	0	negative
cursed	1	0	negative
curser	1	0	negative
curses	1	0	negative
cursing	1	0	negative
cursory	1	0	negative
curst	1	0	negative
curtain	1	1	negative
cut to pieces	3	1	negative
cut up	2	1	negative
cutt	1	0	negative
cutter	1	1	negative
cutthroat	1	1	negative
cutting	1	1	negative
cynic	1	1	negative
daft	1	1	negative
damag	1	1	negative
damm	1	1	negative
damn	1	1	negative
dander	1	1	negative
danger	1	1	negative
dark	1	1	negative
darn	1	0	negative
darned	1	0	negative
dash	1	0	negative
dashed	1	0	negative
dashes	1	0	negative
daunt	1	0	negative
daunted	1	1	negative
daunting	1	1	negative
daunts	1	1	negative
dawdl	1	1	negative
daze	1	1	negative
dead	1	0	negative
deadbeat	1	1	negative
deaden	1	1	negative
deadlier	1	0	negative
deadliest	1	0	negative
deadlock	1	1	negative
deadly	1	0	negative
deadweight	1	0	negative
deaf	1	1	negative
dearth	1	1	negative
death	1	1	negative
debatab	1	1	negative
debilitat	1	1	negative
debt	1	1	negative
decadenc	1	1	negative
decay	1	1	negative
decease	1	1	negative
decei	1	1	negative
decepti	1	1	negative
decrie	1	1	negative
decry	1	1	negative
defam	1	1	negative
default	1	1	negative
defeat	1	1	negative
defect	1	1	negative
defenceless	1	1	negative
defenseless	1	1	negative
defensive	1	1	negative
defian	1	1	negative
deficien	1	1	negative
deficit	1	1	negative
defil	1	1	negative
defy	1	1	negative
degenerat	1	1	negative
degrad	1	1	negative
deject	1	1	negative
delay	1	1	negative
deleterious	1	1	negative
delinquen	1	1	negative
deliriu	1	1	negative
deluded	1	1	negative
delug	1	1	negative
delusion	1	1	negative
demean	1	0	negative
demeaned	1	0	negative
demeaning	1	1	negative
demeans	1	0	negative
dement	1	1	negative
demis	1	1	negative
demolish	1	1	negative
demon	1	0	negative
demoniac	1	0	negative
demonic	1	0	negative
demons	1	0	negative
demorali	1	1	negative
denial	1	1	negative
denie	1	1	negative
denigra	1	1	negative
denounc	1	1	negative
dent	1	0	negative
dented	1	0	negative
denting	1	0	negative
dents	1	0	negative
deny	1	1	negative
depend	1	0	negative
dependen	1	1	negative
deplet	1	1	negative
deplor	1	1	negative
deport	1	1	negative
depose	1	0	negative
deposed	1	0	negative
deposes	1	0	negative
deposing	1	0	negative
deprav	1	1	negative
deprecat	1	1	negative
depreciat	1	1	negative
depres	1	1	negative
depriv	1	1	negative
derail	1	1	negative
derid	1	1	negative
derision	1	0	negative
derisiv	1	1	negative
derogator	1	1	negative
deserted	1	1	negative
deserter	1	0	negative
desertion	1	1	negative
desolat	1	1	negative
despair	1	1	negative
desperat	1	1	negative
despicab	1	1	negative
despis	1	1	negative
despiteful	1	1	negative
despondant	1	1	negative
desponden	1	1	negative
destitut	1	1	negative
destroy	1	1	negative
destruct	1	1	negative
desultory	1	1	negative
detached	1	1	negative
deter	1	0	negative
deteriorat	1	1	negative
determent	1	0	negative
deterred	1	0	negative
deterrence	1	0	negative
deterrent	1	1	negative
deterring	1	0	negative
deters	1	0	negative
detest	1	1	negative
detract	1	1	negative
detrimental	1	1	negative
